round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
1,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.05,6,21474.0,1.6507528877917799,0.0,66.4835437508483,0.6648354203845063,2.3155883039366305,79.9004345165973,47.74413870671456,5.670651801530253,0.5975454695741529,98.44692896694757,similar,6;4;8;9;3;0,3,0,0.4772,0.6068991773472842,0.42182203201196666,0.8839522883737776,0.18507714533531755,0.3878397848602631,-5.551115123125783e-17,0.5416872588739157,0.4638492352967031,0.8000000000000002,0.7,0.5812673485831423,1.743802045749427,0.00019350099319126457,9.31060340598924,11.694444444444445,26.400000000000002,2383.89453125,72.44444444444444,97.0,800.03369140625,268406448,268406448,268406448,805219344,805219344,2.8721394271850587,0.1,,
2,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,11,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.049949148470570824,6,28447.0,1.0860393044273644,0.0,45.355071699312965,0.45355070609040565,1.5395900089258754,30.215431371310107,18.803888265942234,3.378097248002344,0.6223273837554277,33.40446491314727,similar,2;6;0;9;5;3,3,0,0.6321555555555556,0.7764432785855012,0.4896115392035889,0.7745111703927128,0.2868317393819124,0.4537360098494062,-1.1102230246251565e-16,0.6024624529735765,0.4638492352967031,0.9,0.8,0.47959387568221423,1.4387816270466427,0.00019397999858483672,11.07874939701287,11.034090909090908,25.03333333333333,2951.12109375,63.54545454545455,96.0,800.03369140625,268406448,268406448,268406448,805219344,1610438688,3.0002933307647703,0.1152,,
3,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04979680284212534,6,29161.0,0.9459526755184243,0.0,29.3380232885833,0.2933802266334466,1.2393329042224277,16.851267560812758,11.524098894781817,2.3080653803186544,0.683871508146147,19.571061013856472,similar,2;0;4;5;8;3,3,0,0.6480222222222223,0.7896558221679258,0.5736172745244905,0.8851814873839056,0.21603854764343536,0.3333813876051778,-2.7755575615628914e-17,0.5310321980747199,0.3711983581676492,0.7999999999999999,0.6,0.4351433213198767,1.30542996395963,0.000190788006875664,11.527968529000646,10.196527777777776,25.366666666666664,3286.5859375,77.41666666666667,97.0,800.03369140625,268406448,268406448,268406448,805219344,2415658032,3.097465837097168,0.1014,,
4,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04954358913552887,6,15934.0,0.9986075702187287,0.0,12.260936955915156,0.12260936727142727,1.121216935140808,10.17595933784989,7.092003643064741,1.7561193693481585,0.6969371499030191,12.256368110685628,similar,7;4;3;5;9;8,3,0,0.3540888888888889,0.4821689261539326,0.37003675694099525,1.045039165454047,0.11213216921293731,0.3166780227552516,2.7755575615628914e-17,0.5133285620666137,0.4638492352967031,0.8333333333333334,0.7,0.5031591870034838,1.5094775610104516,0.00018983100017067045,7.528572666997206,11.841666666666665,25.391666666666666,3408.66015625,64.0,96.0,800.03369140625,268406448,268406448,268406448,805219344,3220877376,2.8225204627990723,0.1436,,
5,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04919054786021598,6,32001.0,0.9665825863688563,0.0,15.824929286067249,0.15824928950122177,1.1248318775792163,17.421506576646937,11.06384979744856,2.5214395511449497,0.6350684493268617,18.649429465928833,similar,4;9;1;2;0;5,3,0,0.7111333333333334,0.8562519997378137,0.6288358808487362,0.8842728239177878,0.2274161188890775,0.31979392362765185,2.7755575615628914e-17,0.5605754708569649,0.45982817651438435,0.8333333333333334,0.6,0.5179629617219673,1.553888885165902,0.000237308006035164,12.466459046001546,11.121527777777779,22.858333333333334,3552.73828125,57.916666666666664,86.0,800.03369140625,268406448,268406448,268406448,805219344,4026096720,2.6748559497833253,0.1514,,
6,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.048739129738514055,6,21474.0,0.8845186782574935,0.0,24.704098223574036,0.2470409768079539,1.1315596552437839,13.520816653210172,8.316112547667162,2.281381986277286,0.6150599552672159,15.46402268329433,similar,4;6;3;8;9;0,3,0,0.4772,0.6068991773472842,0.42182203201196666,0.8839522883737776,0.18507714533531755,0.3878397848602631,-5.551115123125783e-17,0.5416872588739157,0.4638492352967031,0.8000000000000002,0.7,0.5812673485831423,1.743802045749427,0.0001911569997901097,9.252550368997618,11.858333333333333,25.349999999999998,3660.81640625,59.55555555555556,83.0,800.03369140625,268406448,268406448,268406448,805219344,4831316064,3.085347676849365,0.1512,,
7,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04819118974431404,6,28794.0,0.9011528168385696,0.0,14.328955865944641,0.14328955529551213,1.0444423701189007,13.401718441121389,8.249725333792712,2.269800789557808,0.6155720143717514,15.553671907649218,similar,5;3;2;6;4;0,3,0,0.6398666666666666,0.7837610705718967,0.5401506476232026,0.8441612538391374,0.243610422948694,0.3807206026495531,5.551115123125783e-17,0.5606360944272879,0.46001004722535316,0.8000000000000002,0.6,0.5764438210195468,1.7293314630586405,0.00023912299366202205,11.575537324999459,10.061111111111112,26.349999999999998,3714.890625,82.58333333333333,85.0,800.03369140625,268406448,268406448,268406448,805219344,5636535408,3.1171635482788087,0.1378,,
8,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,12,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.047548979480584876,6,29161.0,0.8320171634751351,0.0,12.374277699807598,0.12374277426432788,0.9557599370537061,10.938115595918932,7.839756570822769,1.7602148575198027,0.7167376485041471,11.787358817403385,similar,0;5;2;8;3;4,3,0,0.6480222222222223,0.7896558221679258,0.5736172745244905,0.8851814873839056,0.21603854764343536,0.3333813876051778,-2.7755575615628914e-17,0.5310321980747199,0.3711983581676492,0.7999999999999999,0.6,0.4351433213198767,1.30542996395963,0.00023331999545916915,11.7078161870013,10.572916666666668,26.508333333333336,3786.921875,82.08333333333333,96.0,800.03369140625,268406448,268406448,268406448,805219344,6441754752,2.469641246032715,0.2296,,
9,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04681513792705389,6,15567.0,0.987090217590087,0.0,22.308378343293608,0.22308377888461195,1.2101739985470965,13.472008994562634,7.8953119439330965,2.3615031666006527,0.5860530372184511,13.808317806365205,similar,9;5;3;6;7;4,3,0,0.3459333333333333,0.47627417455790344,0.3693354165328414,1.067649113122494,0.10693875802506198,0.309131117821532,5.551115123125783e-17,0.5012106592128673,0.458158283879414,0.8333333333333334,0.7,0.5050083373118562,1.5150250119355688,0.0001931489969138056,7.536018389000674,11.723958333333332,26.083333333333332,3786.92578125,65.625,97.0,800.03369140625,268406448,268406448,268406448,805219344,7246974096,3.113328483963013,0.1602,,
10,cifar10,fedavg,True,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.01,0.01,constant,0.0,uniform,1.0,0.01,0.3,0.04599268059607305,6,24805.0,0.9664111713564365,0.0,22.477160620175166,0.22477160058382464,1.1911827646900246,15.769539202617086,10.560141569765378,2.2824100086259893,0.6696545548641303,15.258226082327047,similar,1;3;6;2;9;5,3,0,0.5512222222222223,0.7467839182014142,0.4783684396710365,0.8678322832169578,0.2684154785303776,0.4869460404703484,1.1102230246251565e-16,0.57415361200679,0.4638492352967031,0.9333333333333332,0.8,0.48657649947587905,1.4597294984276372,0.00023793199216015637,10.273010058008367,11.570833333333335,20.616666666666667,3741.87890625,59.2,97.0,800.03369140625,268406448,268406448,268406448,805219344,8052193440,2.3906945064544676,0.1572,,
