round,dataset,algorithm,fcpc,device,gpu_name,gpu_monitor_backend,gpu_sample_count,pairing_metric,reference_strategy,fcpc_update_rule,grad_center_mix,grad_center_step_scale,grad_center_direction,proximal_frequency,mean_effective_proximal_contraction,min_effective_proximal_contraction,max_effective_proximal_contraction,std_effective_proximal_contraction,mean_grad_proxy_distance,grad_proxy_available_fraction,center_clip_limit,mean_center_distance,mean_center_clip_scale,safe_pairing_limit,safe_pairing_feasible_edges,train_pool_examples,assigned_unique_examples,client_examples_min,client_examples_max,alpha,beta_base,beta,beta_schedule,beta_min,partner_weighting,mean_partner_weight,mean_effective_beta,lambda_jsdn,learning_rate,train_clients,train_examples,train_task_loss,train_algorithm_loss,train_fcpc_raw_loss,train_fcpc_weighted_loss,train_total_loss,client_update_second_moment,client_update_variance,server_update_norm,update_cancellation_fraction,mean_pair_update_disagreement,pairing_strategy,selected_clients,pair_count,unpaired_count,paired_global_mass,pair_individual_kl_residual,pair_mixture_kl_residual,pair_mixture_kl_residual_normalized,pair_complementarity_gain,pair_complementarity_gain_normalized,pair_kl_identity_error,mean_pair_label_entropy,min_pair_label_entropy,mean_pair_class_coverage,min_pair_class_coverage,mean_selected_pairing_score,total_selected_pairing_score,pairing_time_s,round_time_s,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,server_download_bytes,server_upload_bytes,peer_upload_bytes,round_total_bytes,cumulative_total_bytes,val_loss,val_acc,test_loss,test_acc
28,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.02129990259792387,6,21228.0,0.6389788123346417,0.0,0.0,0.0,0.6389788123346417,7.472034997171496,4.222287507293176,1.8027053552709702,0.5650787771801375,0.0,fair_greedy_dissimilar,0;9;3;8;7;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.327924655999595,12.102380952380953,24.150000000000002,4105.6484375,86.42857142857143,97.0,755.17919921875,268406448,268406448,0,536812896,15030761088,2.21233012008667,0.2964,,
29,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,8,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.01974260688458122,6,21578.0,0.8337341661716328,0.0,0.0,0.0,0.8337341661716328,9.051550195655361,5.884263483916836,1.7796873334997463,0.6500834733767815,0.0,fair_greedy_dissimilar,9;2;6;5;8;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.456138884000211,10.672916666666667,23.616666666666664,4105.6796875,52.0,97.0,755.17919921875,268406448,268406448,0,536812896,15567573984,1.9224510807037354,0.3186,,
30,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,6,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.01820794223088195,6,17586.0,0.7480717141206227,0.0,0.0,0.0,0.7480717141206227,8.88880355904243,4.740033320672294,2.036852760488466,0.5332589880795586,0.0,fair_greedy_dissimilar,1;8;4;9;7;3,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.578407293000055,12.39861111111111,22.025000000000002,4105.640625,44.666666666666664,96.0,755.17919921875,268406448,268406448,0,536812896,16104386880,2.347786897277832,0.2734,,
31,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.01670221490307264,6,28794.0,0.9690612566597786,0.0,0.0,0.0,0.9690612566597786,10.711389853317762,5.305457378455587,2.325066286254536,0.4953098235143576,0.0,fair_greedy_dissimilar,3;0;6;5;2;4,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959858938999787,11.499074074074073,23.391666666666666,4105.6484375,75.77777777777777,97.0,755.17919921875,268406448,268406448,0,536812896,16641199776,1.9397438449859619,0.2866,,
32,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.015231612257720753,6,28161.0,0.6842130387393653,0.0,0.0,0.0,0.6842130387393653,3.819760326931507,3.051533261175763,0.876485462861816,0.7988808980522544,0.0,fair_greedy_dissimilar,7;2;4;5;0;9,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83974583500003,11.26388888888889,25.566666666666666,4105.6484375,81.33333333333333,98.0,755.17919921875,268406448,268406448,0,536812896,17178012672,1.7261866104125976,0.4432,,
33,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,10,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.013802177316539333,6,31894.0,0.5938228950733271,0.0,0.0,0.0,0.5938228950733271,3.338532370753081,2.921323125280359,0.6459178528632059,0.8750319522726979,0.0,fair_greedy_dissimilar,6;2;5;0;4;7,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65959371200006,11.0275,24.366666666666664,4105.6484375,77.7,97.0,755.17919921875,268406448,268406448,0,536812896,17714825568,1.6722000484466553,0.4476,,
34,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.012419783934314506,6,20972.0,0.7693156209535756,0.0,0.0,0.0,0.7693156209535756,6.921558037480973,4.104366372567147,1.678449150218575,0.5929830343668197,0.0,fair_greedy_dissimilar,1;3;8;9;7;6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28809195300073,12.451190476190476,23.041666666666668,4105.65234375,42.142857142857146,97.0,755.17919921875,268406448,268406448,0,536812896,18251638464,2.3697079551696776,0.2874,,
35,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,7,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.011090112661976308,6,19737.0,0.8484714488710876,0.0,0.0,0.0,0.8484714488710876,4.333428466593609,3.156743413349215,1.0847511182917338,0.7284632715859443,0.0,fair_greedy_dissimilar,4;3;2;8;7;6,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9846528600000966,12.413095238095236,18.224999999999998,4105.6484375,69.71428571428571,97.0,755.17919921875,268406448,268406448,0,536812896,18788451360,1.6458221130371093,0.389,,
36,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.009818627403996347,6,30319.0,0.6065344213191035,0.0,0.0,0.0,0.6065344213191035,3.338758802750192,2.545044599944138,0.8909067957295304,0.7622724594471266,0.0,fair_greedy_dissimilar,8;6;0;7;4;2,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268281341000147,11.607407407407408,26.46666666666667,4033.65234375,76.11111111111111,98.0,755.17919921875,268406448,268406448,0,536812896,19325264256,1.5865171390533448,0.4436,,
37,cifar10,fedavg,False,cuda:0,NVIDIA GeForce RTX 3090,nvidia-smi,9,jsdn,partner,penalty,0.0,0.0,none,none,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,1.0,,,45000,45000,323,11292,0.1,0.0,0.0,constant,0.0,uniform,0.0,0.0,0.3,0.008610552966032407,6,35528.0,0.6102145933851254,0.0,0.0,0.0,0.6102145933851254,3.072503446684471,2.619096706876073,0.673355548107175,0.8524305335911063,0.0,fair_greedy_dissimilar,1;7;5;3;0;2,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.377363577999859,11.314814814814817,24.583333333333332,4033.68359375,72.22222222222223,98.0,755.17919921875,268406448,268406448,0,536812896,19862077152,1.3805006799697876,0.4866,,
