method,seed,clients_per_round,rounds,val_auc_50,val_auc_100,val_auc_all,best_val_acc,best_val_round,last_val_acc,selected_test_acc,last_test_acc,mean_round_time_s,total_round_time_s,total_bytes,bytes_per_round,process_cpu_mean_pct,process_cpu_peak_pct,rss_peak_mib,gpu_util_mean_pct,gpu_util_peak_pct,gpu_memory_peak_mib,round_to_0.5,time_to_0.5_s,bytes_to_0.5,round_to_0.6,time_to_0.6_s,bytes_to_0.6,round_to_0.65,time_to_0.65_s,bytes_to_0.65,round_to_0.7,time_to_0.7_s,bytes_to_0.7
fedavg,42,6,50,0.3266857142857142,0.3266857142857142,0.3266857142857142,0.5576,47,0.524,0.5486,0.5107,8.440751464320037,422.0375732160019,26840644800.0,536812896.0,11.506386976911974,26.59166666666667,4177.48828125,72.5311479076479,98.0,755.17919921875,46,384.3306851310026,24693393216.0,,,,,,,,,
global_anchor,42,6,50,0.3556571428571429,0.3556571428571429,0.3556571428571429,0.5906,47,0.572,0.5822,0.5527,11.007349101615837,550.3674550807918,40260967200.0,805219344.0,11.0229432951308,27.875,3800.953125,70.0875555000555,97.0,800.03369140625,33,357.59741142590065,26572238352.0,,,,,,,,,
jsdn_beta0,42,6,50,0.32848979591836736,0.32848979591836736,0.32848979591836736,0.5558,47,0.5328,0.5529,0.5228,8.402036283279985,420.1018141639993,40260967200.0,805219344.0,11.912384108946608,29.224999999999998,3926.4609375,73.93794805194806,98.0,755.17919921875,46,382.50317155699895,37040089824.0,,,,,,,,,
jsdn_partner,42,6,50,0.32567755102040813,0.32567755102040813,0.32567755102040813,0.5724,47,0.5372,0.5602,0.5332,10.878694034279999,543.934701714,40260967200.0,805219344.0,11.10551501507752,28.116666666666664,3986.62109375,67.0723006438006,97.0,800.03369140625,40,434.7752708529998,32208773760.0,,,,,,,,,
random_partner,42,6,50,0.3261816326530612,0.3261816326530612,0.3261816326530612,0.561,47,0.5278,0.5547,0.5239,10.897168489659961,544.8584244829981,40260967200.0,805219344.0,11.114826159488661,28.733333333333334,3967.92578125,66.66889033189035,97.0,800.03369140625,40,435.3299811279867,32208773760.0,,,,,,,,,
self_history,42,6,50,0.31586938775510204,0.31586938775510204,0.31586938775510204,0.5378,47,0.5064,0.5352,0.5029,11.077255470457022,553.8627735228511,40260967200.0,805219344.0,10.85790691114441,27.116666666666664,4084.07421875,70.39331296481296,97.0,800.03369140625,47,516.0681445569498,37845309168.0,,,,,,,,,
similar_partner,42,6,50,0.3179571428571428,0.3179571428571428,0.3179571428571428,0.5554,47,0.5246,0.5483,0.5152,10.9032978182222,545.16489091111,40260967200.0,805219344.0,11.104822876197877,28.241666666666664,4074.40625,69.29281990231989,97.0,800.03369140625,46,496.3063981250889,37040089824.0,,,,,,,,,
