method,seed,rounds,val_auc_10,val_auc_20,val_auc_50,best_val_acc,best_val_round,last_val_acc,mean_round_time_s,early_update_variance,early_update_cancellation,early_pair_update_disagreement,mean_fcpc_weighted_loss,mean_pairing_score,mean_pair_complementarity,delta_val_auc_10_vs_fedavg_pp,delta_val_auc_20_vs_fedavg_pp,delta_val_auc_50_vs_fedavg_pp,delta_best_val_acc_vs_fedavg_pp,early_update_variance_ratio_vs_fedavg
fedavg,42,50,0.1698222222222222,0.20262105263157892,0.3266857142857142,0.5576,47,0.524,8.440751464320037,15.971852641847175,0.6467612773791139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
jsdn_beta0,42,50,0.16571111111111111,0.2031,0.32848979591836736,0.5558,47,0.5328,8.402036283279985,16.73326736053743,0.6495638859236222,34.63450033142603,0.0,0.7468940990267343,0.3853520865445123,-0.4111111111111093,0.04789473684210788,0.1804081632653165,-0.18000000000000238,1.047672285473966
global_anchor,42,50,0.1738111111111111,0.22147894736842105,0.3556571428571429,0.5906,47,0.572,11.007349101615837,10.068702216514476,0.6648758000354253,20.887920165172567,0.06862372341789352,0.6701986685051112,0.373029889086341,0.3988888888888903,1.885789473684213,2.89714285714287,3.300000000000003,0.630402899544283
self_history,42,50,0.17603333333333335,0.2006421052631579,0.31586938775510204,0.5378,47,0.5064,11.077255470457022,13.770335364151453,0.6843719031296334,28.495361919225196,0.08222272742497624,0.6701986685051112,0.373029889086341,0.621111111111114,-0.19789473684210246,-1.0816326530612153,-1.980000000000004,0.8621626853776737
random_partner,42,50,0.15543333333333334,0.1941684210526316,0.3261816326530612,0.561,47,0.5278,10.897168489659961,11.064402305453866,0.6400999905846312,21.730136925997844,0.12326601654247792,0.6701986685051112,0.373029889086341,-1.4388888888888869,-0.8452631578947323,-0.05040816326529751,0.34000000000000696,0.6927438258768112
similar_partner,42,50,0.14655555555555558,0.1897684210526316,0.3179571428571428,0.5554,47,0.5246,10.9032978182222,10.986471573507501,0.6462672559194755,19.212678915424668,0.11779233383315608,0.507835631619454,0.36668868077346894,-2.326666666666663,-1.2852631578947338,-0.8728571428571363,-0.21999999999999797,0.6878645714976303
jsdn_partner,42,50,0.16541111111111112,0.20098947368421052,0.32567755102040813,0.5724,47,0.5372,10.878694034279999,10.467470323407257,0.631412114489598,21.053843935022506,0.11489602038996416,0.7468940990267343,0.3853520865445123,-0.4411111111111088,-0.16315789473684006,-0.10081632653060613,1.4800000000000035,0.6553698282929233
